time_s,step,observation,action_pre_scale
1776933909.193377,61,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,-0.004029304254800081,-0.004029304254800081,0.028205128386616707,0.05238095298409462,0.011354411020874977,0.02966943010687828,-0.028205128386616707,0.012087912298738956,-0.004029304254800081,0.004029304254800081,-0.047984447330236435,-0.005249404348433018,-0.15404173731803894,2.9628236293792725,1.8095519542694092,-2.024190664291382,-0.546981155872345,1.5849727392196655,0.14740820229053497,-2.1137051582336426,0.7721624374389648,0.03973428159952164,-1.8543072938919067,0.565652072429657,0.0,0.0,0.0]","[-0.155714750289917,2.9521372318267822,1.8008978366851807,-2.0166213512420654,-0.542910099029541,1.587483525276184,0.14285233616828918,-2.112016439437866,0.768709123134613,0.04042598232626915,-1.8400073051452637,0.5570056438446045]"
1776933909.215026,62,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.005045723635703325,-0.004029304254800081,0.04432234540581703,-0.04432234540581703,-0.0029700216837227345,0.02442002482712269,0.012087912298738956,-0.02014652080833912,0.08461538702249527,0.10980763286352158,-0.019882511347532272,0.02285253256559372,-0.155714750289917,2.9521372318267822,1.8008978366851807,-2.0166213512420654,-0.542910099029541,1.587483525276184,0.14285233616828918,-2.112016439437866,0.768709123134613,0.04042598232626915,-1.8400073051452637,0.5570056438446045,0.0,0.0,0.0]","[-0.15298888087272644,2.950659990310669,1.7919787168502808,-2.01798677444458,-0.5532627701759338,1.5861848592758179,0.14253458380699158,-2.108093023300171,0.7751115560531616,0.033939145505428314,-1.8260475397109985,0.5467042326927185]"
1776933909.237642,63,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,0.021267002448439598,-0.004029304254800081,0.004029304254800081,-0.04432234540581703,-0.012210012413561344,0.018315019086003304,-0.01902603730559349,-0.036263737827539444,0.05238095298409462,0.05126047134399414,-0.004589545074850321,-0.022904563695192337,-0.15298888087272644,2.950659990310669,1.7919787168502808,-2.01798677444458,-0.5532627701759338,1.5861848592758179,0.14253458380699158,-2.108093023300171,0.7751115560531616,0.033939145505428314,-1.8260475397109985,0.5467042326927185,0.0,0.0,0.0]","[-0.15461379289627075,2.949031352996826,1.790472149848938,-2.015134811401367,-0.5486129522323608,1.584221363067627,0.14574670791625977,-2.1078073978424072,0.7695951461791992,0.034110888838768005,-1.8286211490631104,0.5478314757347107]"
1776933909.253456,64,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.004029304254800081,-0.05238095298409462,-0.05238095298409462,0.06043956056237221,-0.012210012413561344,0.006105006206780672,-0.012087912298738956,-0.012087912298738956,0.10073260217905045,-0.017582805827260017,-0.006898851133882999,0.023626180365681648,-0.15461379289627075,2.949031352996826,1.790472149848938,-2.015134811401367,-0.5486129522323608,1.584221363067627,0.14574670791625977,-2.1078073978424072,0.7695951461791992,0.034110888838768005,-1.8286211490631104,0.5478314757347107,0.0,0.0,0.0]","[-0.15478099882602692,2.9414258003234863,1.7844520807266235,-2.002401113510132,-0.5382329821586609,1.5873630046844482,0.14626511931419373,-2.1096034049987793,0.7582505941390991,0.029270879924297333,-1.827297329902649,0.54571133852005]"
1776933909.276827,65,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.036687932908535004,0.012087912298738956,-0.09267399460077286,-0.012087912298738956,0.0267978236079216,-0.012210012413561344,-0.036687932908535004,-0.036263737827539444,-0.05238095298409462,0.14102564752101898,0.006105006206780672,0.012210012413561344,-0.15478099882602692,2.9414258003234863,1.7844520807266235,-2.002401113510132,-0.5382329821586609,1.5873630046844482,0.14626511931419373,-2.1096034049987793,0.7582505941390991,0.029270879924297333,-1.827297329902649,0.54571133852005,0.0,0.0,0.0]","[-0.15437795221805573,2.949155569076538,1.7953277826309204,-2.0072474479675293,-0.5331356525421143,1.5860310792922974,0.1457313597202301,-2.1033542156219482,0.7578719854354858,0.031676746904850006,-1.839457392692566,0.553054928779602]"
1776933909.293697,66,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006137788761407137,0.00671320641413331,-0.028205128386616707,0.012087912298738956,-0.09267399460077286,-0.0684981718659401,-0.012210012413561344,0.006105006206780672,0.012087912298738956,-0.02014652080833912,0.08461538702249527,-0.1763833612203598,-0.012210012413561344,0.018315019086003304,-0.15437795221805573,2.949155569076538,1.7953277826309204,-2.0072474479675293,-0.5331356525421143,1.5860310792922974,0.1457313597202301,-2.1033542156219482,0.7578719854354858,0.031676746904850006,-1.839457392692566,0.553054928779602,0.0,0.0,0.0]","[-0.15325210988521576,2.9443869590759277,1.7865056991577148,-2.0017945766448975,-0.5395606756210327,1.5864373445510864,0.147245854139328,-2.109477996826172,0.7574952840805054,0.023139484226703644,-1.8335758447647095,0.5521608591079712]"
1776933909.316586,67,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.013359453529119492,0.004029304254800081,-0.06043956056237221,0.004029304254800081,0.0,0.018315019086003304,0.004029304254800081,-0.012087912298738956,0.012087912298738956,0.005300845485180616,0.0,-0.006105006206780672,-0.15325210988521576,2.9443869590759277,1.7865056991577148,-2.0017945766448975,-0.5395606756210327,1.5864373445510864,0.147245854139328,-2.109477996826172,0.7574952840805054,0.023139484226703644,-1.8335758447647095,0.5521608591079712,0.0,0.0,0.0]","[-0.15306143462657928,2.94953989982605,1.7917511463165283,-2.0088603496551514,-0.5408516526222229,1.5870667695999146,0.1449216604232788,-2.1053502559661865,0.7610757350921631,0.026216410100460052,-1.8326033353805542,0.5504319667816162]"
1776933909.335164,68,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.004029304254800081,-0.04432234540581703,-0.06043956056237221,0.04432234540581703,0.018315019086003304,-0.012210012413561344,-0.012087912298738956,-0.05238095298409462,0.10879120975732803,-0.05238095298409462,0.012210012413561344,-0.018315019086003304,-0.15306143462657928,2.94953989982605,1.7917511463165283,-2.0088603496551514,-0.5408516526222229,1.5870667695999146,0.1449216604232788,-2.1053502559661865,0.7610757350921631,0.026216410100460052,-1.8326033353805542,0.5504319667816162,0.0,0.0,0.0]","[-0.15457460284233093,2.940659999847412,1.7844380140304565,-1.9997193813323975,-0.5353696942329407,1.5875540971755981,0.14555624127388,-2.107510805130005,0.7562204003334045,0.026321545243263245,-1.8252264261245728,0.5463763475418091]"
1776933909.357097,69,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.005129637662321329,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.012087912298738956,-0.012087912298738956,0.022175714373588562,-0.02014652080833912,-0.003982796799391508,0.02442002482712269,-0.012087912298738956,-0.05238095298409462,0.10879120975732803,-0.05238095298409462,-0.012210012413561344,0.006105006206780672,-0.15457460284233093,2.940659999847412,1.7844380140304565,-1.9997193813323975,-0.5353696942329407,1.5875540971755981,0.14555624127388,-2.107510805130005,0.7562204003334045,0.026321545243263245,-1.8252264261245728,0.5463763475418091,0.0,0.0,0.0]","[-0.15238547325134277,2.944504737854004,1.7846906185150146,-2.005721092224121,-0.5448246598243713,1.5858219861984253,0.1437215954065323,-2.10426664352417,0.7669157385826111,0.026203669607639313,-1.8192938566207886,0.5434983372688293]"
1776933909.374269,70,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.004029304254800081,-0.04432234540581703,0.002589663490653038,0.036263737827539444,-0.007460888009518385,0.03527415916323662,0.004029304254800081,-0.04432234540581703,0.05238095298409462,0.028205128386616707,0.018315019086003304,0.0,-0.15238547325134277,2.944504737854004,1.7846906185150146,-2.005721092224121,-0.5448246598243713,1.5858219861984253,0.1437215954065323,-2.10426664352417,0.7669157385826111,0.026203669607639313,-1.8192938566207886,0.5434983372688293,0.0,0.0,0.0]","[-0.15357233583927155,2.944715976715088,1.7866570949554443,-2.0059802532196045,-0.5412838459014893,1.585368037223816,0.1459159404039383,-2.107210159301758,0.7635172605514526,0.028401263058185577,-1.823927879333496,0.5454148054122925]"
1776933909.394278,71,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.013338401913642883,-0.012087912298738956,-0.05238095298409462,-0.04432234540581703,0.006105006206780672,0.0,-0.010837423615157604,0.029461495578289032,-0.036263737827539444,-0.012087912298738956,0.0,0.006105006206780672,-0.15357233583927155,2.944715976715088,1.7866570949554443,-2.0059802532196045,-0.5412838459014893,1.585368037223816,0.1459159404039383,-2.107210159301758,0.7635172605514526,0.028401263058185577,-1.823927879333496,0.5454148054122925,0.0,0.0,0.0]","[-0.15289559960365295,2.9530444145202637,1.7960155010223389,-2.013235330581665,-0.5435011982917786,1.585258960723877,0.14727164804935455,-2.1090171337127686,0.7644010186195374,0.030892863869667053,-1.8406749963760376,0.5543867945671082]"
1776933909.416666,72,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.029594019055366516,0.02014652080833912,0.02014652080833912,-0.028205128386616707,-0.04135378822684288,0.001381254754960537,-0.028205128386616707,-0.021541371941566467,-0.07655677944421768,0.11684981733560562,-0.012210012413561344,0.018315019086003304,-0.15289559960365295,2.9530444145202637,1.7960155010223389,-2.013235330581665,-0.5435011982917786,1.585258960723877,0.14727164804935455,-2.1090171337127686,0.7644010186195374,0.030892863869667053,-1.8406749963760376,0.5543867945671082,0.0,0.0,0.0]","[-0.15438392758369446,2.957667589187622,1.8016088008880615,-2.0227530002593994,-0.5457857847213745,1.5852200984954834,0.14466886222362518,-2.1088433265686035,0.7714816927909851,0.03826209530234337,-1.8395527601242065,0.5544776320457458]"
1776933909.435582,73,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006137788761407137,0.00671320641413331,0.012087912298738956,0.04432234540581703,-0.02014652080833912,0.0684981718659401,0.022055834531784058,-0.006105006206780672,-0.029992341995239258,-0.036263737827539444,0.036263737827539444,-0.05416816473007202,-0.006105006206780672,0.02442002482712269,-0.15438392758369446,2.957667589187622,1.8016088008880615,-2.0227530002593994,-0.5457857847213745,1.5852200984954834,0.14466886222362518,-2.1088433265686035,0.7714816927909851,0.03826209530234337,-1.8395527601242065,0.5544776320457458,0.0,0.0,0.0]","[-0.1580023616552353,2.9444100856781006,1.7916467189788818,-2.0060534477233887,-0.5332614779472351,1.5876919031143188,0.14535284042358398,-2.109884738922119,0.758487343788147,0.0373128280043602,-1.8333590030670166,0.5496057868003845]"
1776933909.456153,74,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.279293537139893,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,0.004029304254800081,-0.004029304254800081,0.04432234540581703,0.012087912298738956,0.006105006206780672,0.0,-0.03493087366223335,0.013426702469587326,0.004029304254800081,-0.11684981733560562,0.013619283214211464,-0.004695735406130552,-0.1580023616552353,2.9444100856781006,1.7916467189788818,-2.0060534477233887,-0.5332614779472351,1.5876919031143188,0.14535284042358398,-2.109884738922119,0.758487343788147,0.0373128280043602,-1.8333590030670166,0.5496057868003845,0.0,0.0,0.0]","[-0.15404367446899414,2.9518330097198486,1.794737696647644,-2.0125138759613037,-0.5422872304916382,1.5870468616485596,0.1447324901819229,-2.1088287830352783,0.7680675387382507,0.03474956005811691,-1.8347971439361572,0.5509596467018127]"
1776933909.476057,75,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.005129637662321329,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.02014652080833912,-0.02014652080833912,0.12564823031425476,-0.028205128386616707,0.006105006206780672,0.012210012413561344,-0.02014652080833912,-0.012833276763558388,-0.028205128386616707,0.028944939374923706,0.006105006206780672,0.0,-0.15404367446899414,2.9518330097198486,1.794737696647644,-2.0125138759613037,-0.5422872304916382,1.5870468616485596,0.1447324901819229,-2.1088287830352783,0.7680675387382507,0.03474956005811691,-1.8347971439361572,0.5509596467018127,0.0,0.0,0.0]","[-0.1536622941493988,2.9574806690216064,1.799546241760254,-2.024568557739258,-0.5534719824790955,1.5847539901733398,0.1438874453306198,-2.11112380027771,0.7800759077072144,0.04012456163764,-1.831978678703308,0.5511192679405212]"
1776933909.497557,76,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.04731081426143646,-0.02014652080833912,0.0010408377274870872,-0.028205128386616707,0.018315019086003304,-0.012210012413561344,-0.004029304254800081,-0.028205128386616707,0.05238095298409462,-0.10879120975732803,-0.0005814689211547375,0.029943563044071198,-0.1536622941493988,2.9574806690216064,1.799546241760254,-2.024568557739258,-0.5534719824790955,1.5847539901733398,0.1438874453306198,-2.11112380027771,0.7800759077072144,0.04012456163764,-1.831978678703308,0.5511192679405212,0.0,0.0,0.0]","[-0.15527644753456116,2.9462263584136963,1.791905164718628,-2.0080060958862305,-0.5430262088775635,1.5857795476913452,0.14826591312885284,-2.117158889770508,0.7656878232955933,0.03512880206108093,-1.8356178998947144,0.5539610385894775]"
1776933909.517296,77,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.0015381788834929466,-0.00496425898745656,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.02014652080833912,-0.02014652080833912,-0.04432234540581703,0.06043956056237221,-0.016541432589292526,-0.010436426848173141,-0.020750753581523895,0.01269761472940445,-0.004029304254800081,0.08461538702249527,-0.02442002482712269,0.030525030568242073,-0.15527644753456116,2.9462263584136963,1.791905164718628,-2.0080060958862305,-0.5430262088775635,1.5857795476913452,0.14826591312885284,-2.117158889770508,0.7656878232955933,0.03512880206108093,-1.8356178998947144,0.5539610385894775,0.0,0.0,0.0]","[-0.15349943935871124,2.949446439743042,1.7954570055007935,-2.009124755859375,-0.536827802658081,1.5890053510665894,0.14402896165847778,-2.1080758571624756,0.7617802023887634,0.03181266039609909,-1.837949514389038,0.5520360469818115]"
1776933909.533720,78,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.005322297569364309,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.0011975588276982307,0.0011975718662142754,-0.04432234540581703,-0.07655677944421768,0.01765519008040428,0.011550182476639748,-0.05238095298409462,0.004029304254800081,-0.02014652080833912,0.0684981718659401,0.012210012413561344,0.006105006206780672,-0.15349943935871124,2.949446439743042,1.7954570055007935,-2.009124755859375,-0.536827802658081,1.5890053510665894,0.14402896165847778,-2.1080758571624756,0.7617802023887634,0.03181266039609909,-1.837949514389038,0.5520360469818115,0.0,0.0,0.0]","[-0.15438714623451233,2.954373836517334,1.798477292060852,-2.0169894695281982,-0.5461545586585999,1.5842032432556152,0.14508402347564697,-2.1060707569122314,0.7669161558151245,0.0358784943819046,-1.838536024093628,0.5544362664222717]"
1776933909.553154,79,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009145433083176613,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.01860440894961357,-0.0024872059002518654,0.028205128386616707,-0.11033332347869873,-0.012210012413561344,-0.018315019086003304,0.03780584782361984,-0.028205128386616707,0.028205128386616707,0.04432234540581703,0.006105006206780672,0.02442002482712269,-0.15438714623451233,2.954373836517334,1.798477292060852,-2.0169894695281982,-0.5461545586585999,1.5842032432556152,0.14508402347564697,-2.1060707569122314,0.7669161558151245,0.0358784943819046,-1.838536024093628,0.5544362664222717,0.0,0.0,0.0]","[-0.15254098176956177,2.955498218536377,1.7940932512283325,-2.0223805904388428,-0.5561667084693909,1.5855283737182617,0.14597618579864502,-2.11299729347229,0.7760072350502014,0.03209327161312103,-1.8321412801742554,0.5498026013374329]"
1776933909.573690,80,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006137788761407137,0.00671320641413331,-0.028205128386616707,0.012087912298738956,-0.02014652080833912,0.1261887401342392,0.018315019086003304,0.012210012413561344,-0.012087912298738956,-0.05366716533899307,0.012087912298738956,0.05110063776373863,0.02442002482712269,0.018315019086003304,-0.15254098176956177,2.955498218536377,1.7940932512283325,-2.0223805904388428,-0.5561667084693909,1.5855283737182617,0.14597618579864502,-2.11299729347229,0.7760072350502014,0.03209327161312103,-1.8321412801742554,0.5498026013374329,0.0,0.0,0.0]","[-0.157570019364357,2.9418742656707764,1.7903375625610352,-2.0019474029541016,-0.5298750996589661,1.5877439975738525,0.14622241258621216,-2.110588312149048,0.7561306953430176,0.03609766066074371,-1.8319627046585083,0.549322247505188]"
1776933909.593369,81,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006137788761407137,0.00671320641413331,-0.004029304254800081,-0.004029304254800081,0.028205128386616707,0.012087912298738956,0.0072935400530695915,-0.0011885310523211956,-0.029979465529322624,-0.05238095298409462,0.05238095298409462,-0.09267399460077286,0.0,0.030525030568242073,-0.157570019364357,2.9418742656707764,1.7903375625610352,-2.0019474029541016,-0.5298750996589661,1.5877439975738525,0.14622241258621216,-2.110588312149048,0.7561306953430176,0.03609766066074371,-1.8319627046585083,0.549322247505188,0.0,0.0,0.0]","[-0.1540653556585312,2.9469356536865234,1.7906264066696167,-2.0057787895202637,-0.5383850932121277,1.5875728130340576,0.14404742419719696,-2.1073737144470215,0.765015184879303,0.031318217515945435,-1.827751636505127,0.5479074120521545]"
1776933909.616654,82,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.012464258819818497,-0.012087912298738956,-0.07655677944421768,-0.02014652080833912,0.010322483256459236,-0.01642749272286892,-0.028205128386616707,-0.004029304254800081,0.012087912298738956,0.18169502913951874,-0.018315019086003304,-0.012210012413561344,-0.1540653556585312,2.9469356536865234,1.7906264066696167,-2.0057787895202637,-0.5383850932121277,1.5875728130340576,0.14404742419719696,-2.1073737144470215,0.765015184879303,0.031318217515945435,-1.827751636505127,0.5479074120521545,0.0,0.0,0.0]","[-0.1536882370710373,2.9501633644104004,1.7939049005508423,-2.0133705139160156,-0.5409247279167175,1.5862939357757568,0.14381398260593414,-2.102236270904541,0.7632778882980347,0.03166050463914871,-1.8344457149505615,0.5485098958015442]"
1776933909.633676,83,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.03932642191648483,0.05238095298409462,-0.012087912298738956,-0.028205128386616707,-0.029980672523379326,0.01166565716266632,0.023209206759929657,-0.004029304254800081,-0.06043956056237221,0.05238095298409462,-0.012210012413561344,0.018315019086003304,-0.1536882370710373,2.9501633644104004,1.7939049005508423,-2.0133705139160156,-0.5409247279167175,1.5862939357757568,0.14381398260593414,-2.102236270904541,0.7632778882980347,0.03166050463914871,-1.8344457149505615,0.5485098958015442,0.0,0.0,0.0]","[-0.15347489714622498,2.9513731002807617,1.794869303703308,-2.0138983726501465,-0.5399844646453857,1.5851513147354126,0.1466996818780899,-2.1091296672821045,0.7649725675582886,0.03229106217622757,-1.8408963680267334,0.5538825392723083]"
1776933909.653665,84,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009145433083176613,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.002756030298769474,-0.028205128386616707,-0.028205128386616707,-0.1342402994632721,0.018315019086003304,0.04884004965424538,0.004029304254800081,-0.04432234540581703,0.05238095298409462,0.036263737827539444,-0.010770946741104126,0.007544071413576603,-0.15347489714622498,2.9513731002807617,1.794869303703308,-2.0138983726501465,-0.5399844646453857,1.5851513147354126,0.1466996818780899,-2.1091296672821045,0.7649725675582886,0.03229106217622757,-1.8408963680267334,0.5538825392723083,0.0,0.0,0.0]","[-0.15328221023082733,2.953094482421875,1.7938425540924072,-2.01743483543396,-0.5555185675621033,1.5840356349945068,0.14525187015533447,-2.1090192794799805,0.7721737623214722,0.0312981978058815,-1.8310507535934448,0.5528496503829956]"
1776933909.674564,85,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.015348204411566257,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.012087912298738956,0.004029304254800081,0.05238095298409462,0.005293385591357946,0.010766351595520973,-0.016871359199285507,-0.004029304254800081,-0.036263737827539444,-0.004029304254800081,0.04432234540581703,-0.00754866749048233,0.010766351595520973,-0.15328221023082733,2.953094482421875,1.7938425540924072,-2.01743483543396,-0.5555185675621033,1.5840356349945068,0.14525187015533447,-2.1090192794799805,0.7721737623214722,0.0312981978058815,-1.8310507535934448,0.5528496503829956,0.0,0.0,0.0]","[-0.15401054918766022,2.9504895210266113,1.794358491897583,-2.0156893730163574,-0.5453137159347534,1.585624098777771,0.14531992375850677,-2.111722230911255,0.770754873752594,0.03598707169294357,-1.8324918746948242,0.5504646301269531]"
1776933909.696471,86,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006137788761407137,0.00671320641413331,0.02014652080833912,0.028205128386616707,0.036263737827539444,0.004029304254800081,-0.035057686269283295,0.01674267277121544,-0.02014652080833912,-0.028205128386616707,0.0684981718659401,0.03525703400373459,-0.012210012413561344,0.018315019086003304,-0.15401054918766022,2.9504895210266113,1.794358491897583,-2.0156893730163574,-0.5453137159347534,1.585624098777771,0.14531992375850677,-2.111722230911255,0.770754873752594,0.03598707169294357,-1.8324918746948242,0.5504646301269531,0.0,0.0,0.0]","[-0.1547362059354782,2.948338031768799,1.789888620376587,-2.014172315597534,-0.5462616682052612,1.5861912965774536,0.14368519186973572,-2.1068272590637207,0.7696653604507446,0.034742698073387146,-1.8255136013031006,0.5446473360061646]"
1776933909.713146,87,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.02014652080833912,0.028205128386616707,0.036263737827539444,0.004029304254800081,-0.030525030568242073,0.012210012413561344,-0.02014652080833912,-0.028205128386616707,0.0684981718659401,-0.03351610526442528,-0.02442002482712269,0.006105006206780672,-0.1547362059354782,2.948338031768799,1.789888620376587,-2.014172315597534,-0.5462616682052612,1.5861912965774536,0.14368519186973572,-2.1068272590637207,0.7696653604507446,0.034742698073387146,-1.8255136013031006,0.5446473360061646,0.0,0.0,0.0]","[-0.15482991933822632,2.9465935230255127,1.7874879837036133,-2.0116806030273438,-0.5441679358482361,1.5856988430023193,0.14497387409210205,-2.107032537460327,0.7680862545967102,0.03333988040685654,-1.8254743814468384,0.5441728234291077]"
