time_s,step,observation,action_pre_scale
1776846425.879181,11,"[-0.11189159005880356,0.004970432259142399,-0.9937080144882202,-0.1162828654050827,-0.004142512567341328,-0.023361705243587494,-0.2593495547771454,-0.18085885047912598,-0.016437673941254616,0.0750654861330986,-0.011473268270492554,0.0069908504374325275,-0.25003665685653687,0.13673464953899384,-0.0012375981314107776,0.4183218479156494,-0.3471018075942993,0.3742389678955078,0.3501127064228058,-0.023331861943006516,0.18548573553562164,-0.4771535396575928,0.014886859804391861,-0.10557378083467484,0.38010457158088684,-0.3125605881214142,-0.006654518190771341,-0.01142190396785736,0.15792450308799744,-0.019411303102970123,-0.002977224765345454,-5.241636276245117,-0.05072122439742088,0.019548021256923676,-0.14741656184196472,0.34558290243148804,-0.12996509671211243,0.04294057935476303,-0.011157233268022537,0.0,0.0,0.0]","[-0.010456997901201248,0.16098050773143768,-0.0576513335108757,0.022611523047089577,-5.652761459350586,-0.02963237836956978,0.011052774265408516,-0.1404380202293396,0.313727468252182,-0.16410067677497864,0.05198211222887039,0.01348956674337387]"
1776846425.899324,12,"[-0.11025013774633408,0.003001229837536812,-0.9938993453979492,-0.10986274480819702,-0.010421309620141983,-0.017660457640886307,-0.2546004056930542,-0.18143481016159058,-0.012200236320495605,0.06632553786039352,-0.011263582855463028,0.0056577702052891254,-0.24441923201084137,0.1336217224597931,-0.000995961599983275,0.3017770051956177,-0.3053984045982361,0.2666296064853668,0.2134770303964615,-0.03002927638590336,0.2173011600971222,-0.4272802472114563,0.009670817293226719,-0.05844533443450928,0.2597050666809082,-0.1302332580089569,0.019236821681261063,-0.010456997901201248,0.16098050773143768,-0.0576513335108757,0.022611523047089577,-5.652761459350586,-0.02963237836956978,0.011052774265408516,-0.1404380202293396,0.313727468252182,-0.16410067677497864,0.05198211222887039,0.01348956674337387,0.0,0.0,0.0]","[-0.009650612249970436,0.16001012921333313,-0.07269984483718872,0.0353488028049469,-6.112846851348877,-0.022361084818840027,0.0059625860303640366,-0.13597072660923004,0.2801527976989746,-0.198522686958313,0.04764692857861519,0.024830494076013565]"
1776846425.919103,13,"[-0.1078408733010292,0.0009011646034196019,-0.9941677451133728,-0.10524168610572815,-0.015688501298427582,-0.013666565530002117,-0.25224578380584717,-0.18214412033557892,-0.00761393690481782,0.05882176011800766,-0.01110371295362711,0.005109863355755806,-0.2409857213497162,0.1322644203901291,-0.00027179630706086755,0.2173595279455185,-0.25360992550849915,0.18608227372169495,0.0980110615491867,-0.036598287522792816,0.22981388866901398,-0.36668506264686584,0.0077353669330477715,-0.022833019495010376,0.15393240749835968,-0.04811013489961624,0.04932364821434021,-0.009650612249970436,0.16001012921333313,-0.07269984483718872,0.0353488028049469,-6.112846851348877,-0.022361084818840027,0.0059625860303640366,-0.13597072660923004,0.2801527976989746,-0.198522686958313,0.04764692857861519,0.024830494076013565,0.0,0.0,0.0]","[-0.011311668902635574,0.15539774298667908,-0.07389198243618011,0.03793083503842354,-6.632261753082275,-0.019939132034778595,0.003025403246283531,-0.134102001786232,0.24654006958007812,-0.229069322347641,0.04021232947707176,0.02913217432796955]"
1776846425.939151,14,"[-0.1047578826546669,-0.001409471849910915,-0.994496762752533,-0.10194114595651627,-0.019931046292185783,-0.010870146565139294,-0.25166043639183044,-0.18298086524009705,-0.002661941573023796,0.052187442779541016,-0.01096943486481905,0.004870258737355471,-0.23913943767547607,0.13303910195827484,0.0021639694459736347,0.15265721082687378,-0.20388665795326233,0.1347486674785614,0.01937323622405529,-0.04284767061471939,0.2613784670829773,-0.3170866370201111,0.006832284852862358,-0.0101445522159338,0.07911195605993271,0.04103294759988785,0.1099572479724884,-0.011311668902635574,0.15539774298667908,-0.07389198243618011,0.03793083503842354,-6.632261753082275,-0.019939132034778595,0.003025403246283531,-0.134102001786232,0.24654006958007812,-0.229069322347641,0.04021232947707176,0.02913217432796955,0.0,0.0,0.0]","[-0.015039514750242233,0.14763996005058289,-0.06412698328495026,0.03098226711153984,-7.198108196258545,-0.01906842738389969,0.0032176990061998367,-0.13245783746242523,0.21430397033691406,-0.2560166120529175,0.0311104916036129,0.02993253991007805]"
1776846425.958915,15,"[-0.10110584646463394,-0.0038826109375804663,-0.9948680996894836,-0.09977000951766968,-0.023381371051073074,-0.008606686256825924,-0.25182047486305237,-0.18392865359783173,0.0034878321457654238,0.04656662419438362,-0.010860003530979156,0.0045928373001515865,-0.23815105855464935,0.13529200851917267,0.0052857305854558945,0.10045789182186127,-0.1661546379327774,0.11007972061634064,-0.01284833438694477,-0.04859873652458191,0.31232699751853943,-0.2721348702907562,0.005352562293410301,-0.015077205374836922,0.04346593841910362,0.12662844359874725,0.15743160247802734,-0.015039514750242233,0.14763996005058289,-0.06412698328495026,0.03098226711153984,-7.198108196258545,-0.01906842738389969,0.0032176990061998367,-0.13245783746242523,0.21430397033691406,-0.2560166120529175,0.0311104916036129,0.02993253991007805,0.0,0.0,0.0]","[-0.019795145839452744,0.1389838457107544,-0.04524250328540802,0.016091160476207733,-7.788395404815674,-0.017558366060256958,0.005603332072496414,-0.1312817931175232,0.1834060251712799,-0.2785950005054474,0.021146321669220924,0.029283393174409866]"
1776846425.979043,16,"[-0.09684695303440094,-0.0064790984615683556,-0.9952781796455383,-0.09835803508758545,-0.0261058509349823,-0.00663354154676199,-0.2524575889110565,-0.18499086797237396,0.00962919183075428,0.041980378329753876,-0.010759306140244007,0.004131301771849394,-0.2377253770828247,0.139033243060112,0.008349429816007614,0.06495104730129242,-0.12956690788269043,0.09723398089408875,-0.03558982163667679,-0.05402800440788269,0.3022892475128174,-0.2192452847957611,0.00497142830863595,-0.02545902505517006,0.01673194020986557,0.19847260415554047,0.1476244330406189,-0.019795145839452744,0.1389838457107544,-0.04524250328540802,0.016091160476207733,-7.788395404815674,-0.017558366060256958,0.005603332072496414,-0.1312817931175232,0.1834060251712799,-0.2785950005054474,0.021146321669220924,0.029283393174409866,0.0,0.0,0.0]","[-0.024525325745344162,0.13142099976539612,-0.020518966019153595,-0.005750796291977167,-8.384993553161621,-0.01457899808883667,0.008772514760494232,-0.13121891021728516,0.15401044487953186,-0.2955012321472168,0.010012730956077576,0.027697676792740822]"
1776846425.999476,17,"[-0.09200789034366608,-0.009217929095029831,-0.9957156181335449,-0.09745804965496063,-0.02817266620695591,-0.004762070719152689,-0.25339797139167786,-0.18616637587547302,0.015906138345599174,0.038367412984371185,-0.010660126805305481,0.0033352409955114126,-0.23758280277252197,0.14416633546352386,0.011462729424238205,0.04102092608809471,-0.09824599325656891,0.09424905478954315,-0.046958088874816895,-0.05959520488977432,0.3202555775642395,-0.16862228512763977,0.005262075923383236,-0.04311555624008179,0.005692846141755581,0.261262983083725,0.1433233618736267,-0.024525325745344162,0.13142099976539612,-0.020518966019153595,-0.005750796291977167,-8.384993553161621,-0.01457899808883667,0.008772514760494232,-0.13121891021728516,0.15401044487953186,-0.2955012321472168,0.010012730956077576,0.027697676792740822,0.0,0.0,0.0]","[-0.029168449342250824,0.1244174987077713,0.008810676634311676,-0.03099084086716175,-8.961852073669434,-0.011385355144739151,0.012333350256085396,-0.13236543536186218,0.1252269744873047,-0.3115459382534027,-0.0019292235374450684,0.026487309485673904]"
1776846426.019080,18,"[-0.0865684449672699,-0.012125582434237003,-0.9961721301078796,-0.0968390479683876,-0.029774297028779984,-0.0028419960290193558,-0.25437527894973755,-0.18743343651294708,0.023275690153241158,0.03568039461970329,-0.010554987005889416,0.0021240401547402143,-0.2374984472990036,0.15052339434623718,0.01474151574075222,0.02989310398697853,-0.07752373814582825,0.09796386957168579,-0.04812833294272423,-0.06426320225000381,0.3830793797969818,-0.1257719099521637,0.005492481403052807,-0.06469735503196716,0.0037875403650105,0.3277849555015564,0.1595633625984192,-0.029168449342250824,0.1244174987077713,0.008810676634311676,-0.03099084086716175,-8.961852073669434,-0.011385355144739151,0.012333350256085396,-0.13236543536186218,0.1252269744873047,-0.3115459382534027,-0.0019292235374450684,0.026487309485673904,0.0,0.0,0.0]","[-0.03351105377078056,0.11809634417295456,0.041292689740657806,-0.057089027017354965,-9.497064590454102,-0.008202046155929565,0.015713650733232498,-0.13433808088302612,0.09593808650970459,-0.3300178050994873,-0.014972809702157974,0.02686953917145729]"
1776846426.039247,19,"[-0.08049459755420685,-0.015180295333266258,-0.9966394305229187,-0.0962929055094719,-0.031219160184264183,-0.0007611823966726661,-0.25515392422676086,-0.18882669508457184,0.033545952290296555,0.03384755551815033,-0.010434996336698532,0.0005118866101838648,-0.2374163269996643,0.1579868197441101,0.018075602129101753,0.027193650603294373,-0.0727805644273758,0.10549682378768921,-0.03634703904390335,-0.07225483655929565,0.5606158971786499,-0.08453384041786194,0.006112938281148672,-0.0843149870634079,0.0045426981523633,0.38402366638183594,0.1710256189107895,-0.03351105377078056,0.11809634417295456,0.041292689740657806,-0.057089027017354965,-9.497064590454102,-0.008202046155929565,0.015713650733232498,-0.13433808088302612,0.09593808650970459,-0.3300178050994873,-0.014972809702157974,0.02686953917145729,0.0,0.0,0.0]","[-0.03673125430941582,0.11191904544830322,0.07341551780700684,-0.08143845945596695,-9.976631164550781,-0.004127848893404007,0.017521988600492477,-0.13575142621994019,0.06825672090053558,-0.3499967157840729,-0.029337704181671143,0.03012588806450367]"
1776846426.058872,20,"[-0.07328254729509354,-0.017555316910147667,-0.9971566796302795,-0.09173953533172607,-0.03138628974556923,2.76755349659652e-06,-0.25613757967948914,-0.19418641924858093,0.03691358491778374,0.033120591193437576,-0.011376936919987202,-0.0010152789764106274,-0.23406830430030823,0.1634397953748703,0.019490253180265427,0.2537780702114105,0.0038095111958682537,0.028619911521673203,-0.0026316214352846146,-0.26475608348846436,0.03620513528585434,-0.029185457155108452,-0.05005927011370659,-0.060164373368024826,0.19540783762931824,0.2567402124404907,0.0724068284034729,-0.03673125430941582,0.11191904544830322,0.07341551780700684,-0.08143845945596695,-9.976631164550781,-0.004127848893404007,0.017521988600492477,-0.13575142621994019,0.06825672090053558,-0.3499967157840729,-0.029337704181671143,0.03012588806450367,0.0,0.0,0.0]","[-0.04696650430560112,0.0992901548743248,0.11788258701562881,-0.10310093313455582,-10.460306167602539,0.004606869071722031,0.021041616797447205,-0.1397506147623062,0.023856673389673233,-0.3593962490558624,-0.04940000921487808,0.03242869675159454]"
